method,query_song_name,query_song_genre,match_1,match_1_genre,match_2,match_2_genre,match_3,match_3_genre
raw dot product,If You See Me,blues,I'm A Winner (Amended Album Version),hip hop,Interlude 5,r&b/soul,I Want You,r&b/soul
raw dot product,Lies,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Next Girl,blues,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,The Girls,electronic,8 Mile,hip hop
raw dot product,No Fun,blues,Miss You,latin,Breakaway,pop,Kozmic Blues,blues
raw dot product,Stack Shot Billy,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Otha Fish,hip hop
raw dot product,Ten Cent Pistol,blues,Queen Of Hollywood ( LP Version ),pop,She Ain't Afraid,hip hop,Interlude 5,r&b/soul
raw dot product,The Flame,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,My Darling,hip hop
raw dot product,These Days,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I Want You,r&b/soul
raw dot product,When The Lights Go Out,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,Have Love Will Travel,blues,I Want You,r&b/soul,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop
raw dot product,C.C. Rider,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,My Darling,hip hop
raw dot product,I Got a Woman,blues,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Interlude 5,r&b/soul,She Ain't Afraid,hip hop
raw dot product,The Sun's Gonna Shine Again,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Losing Hand,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,Nobody But Me (Album Version),blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,A Sunday Kind of Love,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,I Just Want To Make Love To You,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,My Dearest Darling,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,My Darling,hip hop
raw dot product,W.O.M.A.N.,blues,Interlude 5,r&b/soul,Cut And Run,punk,I'm A Winner (Amended Album Version),hip hop
raw dot product,Alberta,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,My Darling,hip hop
raw dot product,Before You Accuse Me (Take A Look At Yourself),blues,Interlude 5,r&b/soul,My Darling,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Early In The Morning,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Hold Me Down (Album Version),r&b/soul
raw dot product,Floating Bridge,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,Kind Hearted Woman Blues (Album Version),blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,That's All (Album Version),classical,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Man In The Mirror,pop
raw dot product,America (Revised Live Version),classical,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,Broken Vow (Album Version),classical,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,Gira Con Me Questa Notte (Album Version),classical,Move On,pop,Horse With No Name,reggae,Istruzioni Per L'(Ill)uso,hip hop
raw dot product,Hymne A L'Amour (Album Version),classical,Yakamonéyé,reggae,L'Amour Du Risque,hip hop,Panam All Star,hip hop
raw dot product,It Came Upon A Midnight Clear (Album Version),classical,Weak Become Heroes,hip hop,Sing,pop,Sing A Song,country
raw dot product,Let Me Fall (From Cirque du Soleil) (Album Version),classical,Interlude 5,r&b/soul,8 Mile,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Mi Mancherai (Il Postino) (Revised Live Version),classical,Luv Me Up,reggae,Sinan Capudan Pascià,folk,Te Ando Buscando,reggae
raw dot product,My Confession (Album Version),classical,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop,Interlude 5,r&b/soul
raw dot product,Oceano (Revised Live Version),classical,Quelli Che,hip hop,Sinan Capudan Pascià,folk,Istruzioni Per L'(Ill)uso,hip hop
raw dot product,Remember When It Rained (Album Version),classical,Interlude 5,r&b/soul,Man In The Mirror,pop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Remember When It Rained (Revised Live Version),classical,Interlude 5,r&b/soul,Man In The Mirror,pop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Smile,classical,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Man In The Mirror,pop
raw dot product,Solo Por Ti (Album Version),classical,Move On,pop,Horse With No Name,reggae,Dale tiempo al rumor,hip hop
raw dot product,Un Giorno Per Noi (Album Version),classical,Otha Fish,hip hop,Move On,pop,Sinan Capudan Pascià,folk
raw dot product,Vincent (Starry_ Starry Night) (Album Version),classical,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,My Darling,hip hop
raw dot product,When You Say You Love Me (Album Version),classical,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,You Raise Me Up (Album Version),classical,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Believe (Album Version),classical,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Man In The Mirror,pop
raw dot product,Away In A Manger,classical,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,Cinema Paradiso (Se) (Album Version),classical,Istruzioni Per L'(Ill)uso,hip hop,Quelli Che,hip hop,Sinan Capudan Pascià,folk
raw dot product,All Around Me,classical,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Black Opera,classical,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,Baal's Hymn,classical,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Ice Is Workin' It,hip hop
raw dot product,Adagio,classical,Istruzioni Per L'(Ill)uso,hip hop,Quelli Che,hip hop,Sinan Capudan Pascià,folk
raw dot product,Adeste Fideles,classical,It's A Party,hip hop,Tell Your Momma Come,hip hop,Aguas De Marco,latin
raw dot product,All By Myself (Solo Otra Vez),classical,El Negro Está Cocinando,latin,Gitana,latin,Horse With No Name,reggae
raw dot product,Amazing Grace,classical,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Splurge,hip hop
raw dot product,Angelina,classical,Dale tiempo al rumor,hip hop,Cantando,hip hop,El Negro Está Cocinando,latin
raw dot product,Ave Maria,classical,Move On,pop,Horse With No Name,reggae,Istruzioni Per L'(Ill)uso,hip hop
raw dot product,Caruso,classical,Istruzioni Per L'(Ill)uso,hip hop,Sinan Capudan Pascià,folk,Move On,pop
raw dot product,Come Primavera,classical,Move On,pop,Horse With No Name,reggae,Mother Nature,reggae
raw dot product,Dentro Un Altro Si,classical,Quelli Che,hip hop,Istruzioni Per L'(Ill)uso,hip hop,Sinan Capudan Pascià,folk
raw dot product,En Aranjuez Con Tu Amor,classical,Dale tiempo al rumor,hip hop,Cantando,hip hop,Lloré Lloré,latin
raw dot product,Enamorado,classical,Dale tiempo al rumor,hip hop,Te Vuelvo Loca,reggae,Gitana,latin
raw dot product,Esisti Dentro Me,classical,Tu Sonrisa,latin,Como Y Vete,reggae,Tu Amor (Hecho En Madrid),latin
raw dot product,Everytime I Look At You,classical,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Feelings,classical,I've Grown Accustomed To Her Face,jazz,Can U Feel It?,jazz,Istruzioni Per L'(Ill)uso,hip hop
raw dot product,Hallelujah (Aleluya),classical,Dale tiempo al rumor,hip hop,Cantando,hip hop,Lloré Lloré,latin
raw dot product,Hasta Mi Final,classical,Dale tiempo al rumor,hip hop,Te Vuelvo Loca,reggae,Cantando,hip hop
raw dot product,Crazier,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Hold Me Down (Album Version),r&b/soul
raw dot product,Fifteen,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,My Darling,hip hop
raw dot product,Change,country,Interlude 5,r&b/soul,Ice Is Workin' It,hip hop,Touch It / Technologic,electronic
raw dot product,You Can't Read My Mind,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Man In White,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,Holes,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Baby Girl,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Growin' Up Down There,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Hangin' Around,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,Here I Am,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,She's Got A Way With Me,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,She Ain't Afraid,hip hop
raw dot product,That's How Country Boys Roll,country,Interlude 5,r&b/soul,Man In The Mirror,pop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Where The Girls Are,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,My Darling,hip hop
raw dot product,Daddy Sang Bass,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Otha Fish,hip hop
raw dot product,I Don't Know Where I'm Bound,country,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop,I Mean (I Don't Mean It),r&b/soul
raw dot product,I Was There When It Happened,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,The Big Battle,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,My Darling,hip hop
raw dot product,A Thing Called Love,country,Interlude 5,r&b/soul,Man In The Mirror,pop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,You Dreamer You,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,I Walk The Line,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Life's Railway To Heaven,country,Interlude 5,r&b/soul,Man In The Mirror,pop,Otha Fish,hip hop
raw dot product,If I Had Wings,country,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Interlude 5,r&b/soul,8 Mile,hip hop
raw dot product,Pray About Everything,country,Never Wanted to Dance,punk,Interlude 5,r&b/soul,I Mean (I Don't Mean It),r&b/soul
raw dot product,Your Everything,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,A Little Too Late,country,Interlude 5,r&b/soul,Man In The Mirror,pop,Over It (Acoustic),punk
raw dot product,Who's Your Daddy?,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,My Darling,hip hop
raw dot product,A Woman's Touch,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Man In The Mirror,pop
raw dot product,Big Ol' Truck,country,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Interlude 5,r&b/soul,Man In The Mirror,pop
raw dot product,Blue Bedroom,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,My Darling,hip hop
raw dot product,It's All Good,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Ice Is Workin' It,hip hop
raw dot product,Sweet,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,You Shouldn't Kiss Me Like This,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,A Real Fine Place To Start,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Man In The Mirror,pop
raw dot product,Endless love,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Love Gets In The Way (Album Version),country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,I'd Like To Have That One Back,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,Marina Del Rey,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Otha Fish,hip hop
raw dot product,Milk Cow Blues,country,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Another Try,country,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop,Interlude 5,r&b/soul
raw dot product,As Fast As I Could,country,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,One More Time / Aerodynamic,electronic,Interlude 5,r&b/soul,Hold Me Down (Album Version),r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,One More Time (Romanthony's Unplugged),electronic,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,One of Us,hip hop
raw dot product,Touch It / Technologic,electronic,Ice Is Workin' It,hip hop,Shake It And Break It,blues,If It Aint Broke Break It,rock
raw dot product,Boots &  Boys,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Animal,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,Hot N Cold (Innerpartysystem Main),electronic,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,My Darling,hip hop
raw dot product,Captains and Cruise Ships,electronic,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Designer Skyline,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,My Darling,hip hop
raw dot product,Early Birdie,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Meteor Shower,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I Want You,r&b/soul
raw dot product,This Is The Future,electronic,Interlude 5,r&b/soul,My Darling,hip hop,Spitfall,metal
raw dot product,Kings and Queens (Innerpartysystem Remix Main),electronic,Interlude 5,r&b/soul,One of Us,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Bounce,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Vanished,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,My Darling,hip hop
raw dot product,Xxzxcuzx,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Die Another Day [Live],electronic,Everytime I...,r&b/soul,8 Mile,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Perfect (Nellee Hooper Instrumental),electronic,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,Love At First Sight (The Scumfrog's Beauty And The Beast Vocal Edit),electronic,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,I Am Not A Whore,electronic,8 Mile,hip hop,Over It (Acoustic),punk,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Fever,electronic,Touch It / Technologic,electronic,I'm A Winner (Amended Album Version),hip hop,Ice Is Workin' It,hip hop
raw dot product,Freestate,electronic,Cancel (Album Version),r&b/soul,Acid 8000,electronic,My Darling,hip hop
raw dot product,Personal Jesus,electronic,Interlude 5,r&b/soul,My Darling,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Broken,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Kids With Guns (Quiet Village Remix),electronic,Touch It / Technologic,electronic,Ice Is Workin' It,hip hop,Shake It And Break It,blues
raw dot product,Rhinestone Eyes,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Otha Fish,hip hop
raw dot product,Invaders Must Die,electronic,NDW 2005,hip hop,Stand,r&b/soul,The Earth Dies Screaming,reggae
raw dot product,Wake Up Call (Album Version),electronic,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Do The Bartman,hip hop
raw dot product,We Gonna Rock,electronic,Stop The Rock,electronic,Here We Go,punk,It's A Party,hip hop
raw dot product,The Great Collapse,electronic,Interlude 5,r&b/soul,Ice Is Workin' It,hip hop,Touch It / Technologic,electronic
raw dot product,Electric Barbarella (Radio Edit),electronic,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Pluto,electronic,8 Mile,hip hop,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Delta Bay,electronic,Otha Fish,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,We Are The People (Shazam Remix),electronic,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,You Left Me,electronic,Interlude 5,r&b/soul,Hold Me Down (Album Version),r&b/soul,That's What You Told Me,pop
raw dot product,The Warning,electronic,I'm A Winner (Amended Album Version),hip hop,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Keep It On Ice,electronic,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,My Darling,hip hop,New Town,rock
raw dot product,The Jester,electronic,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Lazy Days,electronic,Interlude 5,r&b/soul,Ice Is Workin' It,hip hop,Touch It / Technologic,electronic
raw dot product,Someone Said Goodbye,electronic,Interlude 5,r&b/soul,I Want You,r&b/soul,I'm A Winner (Amended Album Version),hip hop
raw dot product,The Magic Of The Night,electronic,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Otha Fish,hip hop
raw dot product,Gave It A Name,folk,Interlude 5,r&b/soul,Ice Is Workin' It,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,The Vanishing Race,folk,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Interlude 5,r&b/soul,8 Mile,hip hop
raw dot product,All We Ever Do Is Say Goodbye,folk,Interlude 5,r&b/soul,I Want You,r&b/soul,I'm A Winner (Amended Album Version),hip hop
raw dot product,Clarity,folk,I Mean (I Don't Mean It),r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Interlude 5,r&b/soul
raw dot product,Why Georgia,folk,8 Mile,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Over It (Acoustic),punk
raw dot product,Mudfootball (For Moe Lerner),folk,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Man In The Mirror,pop
raw dot product,Sister Winter,folk,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,In A Graveyard,folk,Interlude 5,r&b/soul,One of Us,hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Baby,folk,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Janglin,folk,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,My Darling,hip hop
raw dot product,Ballad In Plain D,folk,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,One Of Us Must Know (Sooner Or Later),folk,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,It's Growing,folk,Interlude 5,r&b/soul,Touch It / Technologic,electronic,Ice Is Workin' It,hip hop
raw dot product,Oh_ Susannah (LP Version),folk,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop
raw dot product,Something In The Way She Moves,folk,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,She Ain't Afraid,hip hop
raw dot product,Draw The Line,folk,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Cancel (Album Version),r&b/soul
raw dot product,Sail Away,folk,The Rockafeller Skank,electronic,Interlude 5,r&b/soul,Hold Me Down (Album Version),r&b/soul
raw dot product,Stella The Artist,folk,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,She Ain't Afraid,hip hop
raw dot product,Swing Life Away (Acoustic),folk,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Billy 4,folk,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,My Darling,hip hop
raw dot product,Stuck Inside Of Mobile With The Memphis Blues Again,folk,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
